recipe_name,source,url,servings,calories,image_url,diet_labels,health_labels,cautions,cuisine_type,meal_type,dish_type
Classic Cabbage Slaw with Grandmother Shinn's Dressing,Food Network,https://www.foodnetwork.com/recipes/classic-cabbage-slaw-with-grandmother-shinns-dressing-recipe-1940391,6,511.28325,https://datahive-prod-dataset-products.s3.eu-central-1.amazonaws.com/dataset/346/0066d6f63e9b4ace21cfdb6a3579251a750aa31719be9b80e032f0fdfafb21c8/21126475.jpg,"[""Balanced""]","[""Vegetarian"",""Gluten-Free"",""Peanut-Free"",""Tree-Nut-Free"",""Soy-Free"",""Fish-Free"",""Shellfish-Free""]",[],"[""american""]","[""lunch/dinner""]","[""salad""]"
Black Bean Soup,Cookstr,http://www.cookstr.com/recipes/black-bean-soup-4-bonnie-tandy-leblang,8,1850.99899,https://datahive-prod-dataset-products.s3.eu-central-1.amazonaws.com/dataset/346/000146940613626dc55ec857d59817f3fcdbb0e606192d4b3d6bf0f28f106ba1/21071596.jpg,"[""High-Fiber""]","[""Dairy-Free"",""Gluten-Free"",""Egg-Free"",""Peanut-Free"",""Tree-Nut-Free"",""Soy-Free"",""Fish-Free"",""Shellfish-Free""]","[""Sulfites""]","[""american""]","[""lunch/dinner""]","[""soup""]"
Eat for Eight Bucks: Tofu with Tomatoes and Cilantro Recipe,Serious Eats,http://www.seriouseats.com/recipes/2010/06/eat-for-eight-bucks-tofu-with-tomatoes-and-cilantro-recipe.html,4,1643.758565371806,https://datahive-prod-dataset-products.s3.eu-central-1.amazonaws.com/dataset/346/000273198e35300038a0b5833e294c23d746b2f59074cc5f235f7b8c47ce852f/20954046.jpg,"[""High-Fiber"",""Low-Carb""]","[""Vegan"",""Vegetarian"",""Dairy-Free"",""Egg-Free"",""Tree-Nut-Free"",""Fish-Free"",""Shellfish-Free""]","[""Gluten"",""Wheat"",""Sulfites""]","[""asian""]","[""lunch/dinner""]","[""main course""]"
Fried Chicken Banh Mi,Food Network,https://www.foodnetwork.com/recipes/fried-chicken-banh-mi-18315478,4,8471.182074998183,https://datahive-prod-dataset-products.s3.eu-central-1.amazonaws.com/dataset/346/0003c1856f51c706fed64ddb5f965c26d5bb1700cd09d45c813a871c97167ada/21008642.jpg,"[""High-Fiber""]","[""Peanut-Free"",""Tree-Nut-Free"",""Fish-Free"",""Shellfish-Free""]","[""Gluten"",""Wheat"",""Sulfites""]","[""south east asian""]","[""lunch/dinner""]","[""sandwiches""]"
The Macaron Frappé,French Revolution Food,http://www.frenchrevolutionfood.com/2013/07/le-macaron-frappe-milkshake-for-bastille-day/,1,276.2439032,https://datahive-prod-dataset-products.s3.eu-central-1.amazonaws.com/dataset/346/00040113c0b2836ed5b9f8a5036d459c20f90a6a950afadff79520371c8c7094/21054266.jpg,[],"[""Vegetarian"",""Peanut-Free"",""Tree-Nut-Free"",""Soy-Free"",""Fish-Free"",""Shellfish-Free""]","[""Sulfites""]","[""french""]","[""snack""]","[""desserts""]"
Cabbage au Gratin,Food52,https://food52.com/recipes/6490-cabbage-au-gratin,2,678.6048670208334,https://datahive-prod-dataset-products.s3.eu-central-1.amazonaws.com/dataset/346/0004e2c028f08b3a1f117735a5d8347c6084c4e42082f5a6dec3ef4bd1bb6341/20978031.jpg,"[""Low-Carb""]","[""Vegetarian"",""Gluten-Free"",""Egg-Free"",""Peanut-Free"",""Tree-Nut-Free"",""Soy-Free"",""Fish-Free"",""Shellfish-Free""]","[""Sulfites""]","[""french""]","[""lunch/dinner""]","[""main course""]"
Gingerbread Cookie Dough,Good Housekeeping,http://www.goodhousekeeping.com/food-recipes/a9976/gingerbread-cookie-dough-recipe/,8,2782.025,https://datahive-prod-dataset-products.s3.eu-central-1.amazonaws.com/dataset/346/00068500d13bb677c70d760b3b65f252a004f4c343e8ad09a30514a51993ac6e/21121527.jpg,"[""Low-Sodium""]","[""Vegetarian"",""Peanut-Free"",""Tree-Nut-Free"",""Soy-Free"",""Fish-Free"",""Shellfish-Free""]",[],"[""american""]","[""snack""]","[""biscuits and cookies""]"
Sparkling Berry Lemonade,nourishnutritionblog.com,https://nourishnutritionblog.com/sparkling-berry-lemonade,2,122.56,https://datahive-prod-dataset-products.s3.eu-central-1.amazonaws.com/dataset/346/0007dd59e38502692898bc76c0bd167444245c97632e1ec0eba0af7c390408a8/21068129.jpg,"[""Low-Fat"",""Low-Sodium""]","[""Vegan"",""Vegetarian"",""Dairy-Free"",""Gluten-Free"",""Egg-Free"",""Peanut-Free"",""Tree-Nut-Free"",""Soy-Free"",""Fish-Free"",""Shellfish-Free""]","[""Sulfites""]","[""american""]","[""snack""]","[""drinks""]"
Thick and Creamy Chocolate Peanut Butter Breakfast Shake recipes,bakerbynature.com,http://bakerbynature.com/thick-creamy-chocolate-peanut-butter-breakfast-shake/,2,633.588,https://datahive-prod-dataset-products.s3.eu-central-1.amazonaws.com/dataset/346/000a5bccd49c9d52f7e8d0fb16e5f347929669c307951d9901cbb08e902b8d5e/21086116.jpeg,"[""High-Fiber"",""Low-Sodium""]","[""Vegetarian"",""Dairy-Free"",""Gluten-Free"",""Egg-Free"",""Soy-Free"",""Fish-Free"",""Shellfish-Free""]","[""Sulfites""]","[""american""]","[""breakfast""]","[""desserts""]"
"Sour Cream, Cheddar and Bacon Deviled Eggs",heavenlydeviledeggs.com,http://heavenlydeviledeggs.com/sour-cream-cheddar-and-bacon-deviled-eggs/,6,1171.768710934364,https://datahive-prod-dataset-products.s3.eu-central-1.amazonaws.com/dataset/346/000aa65a8872aeb18fa2a21b1a33d118848e9c02da60fd951acba0118b3aa05a/21101297.jpg,"[""Low-Carb""]","[""Gluten-Free"",""Peanut-Free"",""Tree-Nut-Free"",""Soy-Free"",""Fish-Free"",""Shellfish-Free""]","[""Sulfites""]","[""american""]","[""breakfast""]","[""main course""]"
Vegetarian Crockpot Baked Beans recipes,veggingattheshore.com,http://veggingattheshore.com/2016/06/vegetarian-crockpot-baked-beans/,4,2072.544158,https://datahive-prod-dataset-products.s3.eu-central-1.amazonaws.com/dataset/346/000b9da4333659d33e4b2de909b8a941248aa3066eb0060b4c747638fe73dff2/21080914.jpeg,"[""High-Fiber"",""Low-Fat""]","[""Vegan"",""Vegetarian"",""Dairy-Free"",""Gluten-Free"",""Egg-Free"",""Peanut-Free"",""Tree-Nut-Free"",""Soy-Free"",""Fish-Free"",""Shellfish-Free""]","[""Sulfites""]","[""american""]","[""lunch/dinner""]","[""main course""]"
Uova in Purgatorio recipes,nj.com,http://www.nj.com/cooking/index.ssf/2014/01/paleo_recipe_eggs_in_purgatori.html,4,2028.186722507752,https://datahive-prod-dataset-products.s3.eu-central-1.amazonaws.com/dataset/346/000c938569581984a9a8d8ab3a09305d9dbb31ff5a17bd2548340e3584f40634/21131287.jpeg,"[""Low-Carb""]","[""Gluten-Free"",""Peanut-Free"",""Tree-Nut-Free"",""Soy-Free"",""Fish-Free"",""Shellfish-Free""]","[""Sulfites""]","[""italian""]","[""lunch/dinner""]","[""main course""]"
